theme,hash,title,shorttitle,date,subtitle,skills,duration,location,highlights,thanks,media1,text1,media2,text2,media3,text3,media4,text4,media5,text5
Experience,TrueCircle,TrueCircle AI,TrueCircle,2021,Design Engineer @ Early-Stage Startup,"Mechanical
Prototyping
Embedded systems
Strategy",One Year Full-Time,"TrueCircle HQ, London","First full-time engineer on hardware team
Launched MVP prototype into UK facility
Scaled product to 30+ facilities internationally",PH et al.,"TrueCircle_1a.jpeg
TrueCircle_1b.jpeg","<b>How can we leverage AI to improve plastic recovery in recycling facilities?</b> <a href='https://www.truecircle.ai/'>TrueCircle AI</a> is developing innovative computer vision hardware, retrofitted onto existing conveyor belts, that captures continuous footage of material streams and calculates <b>composition by weight in real-time with 95%+ accuracy</b>. The composition data is displayed in intuitive dashboards, enabling facilities to optimise their flow and prevent valuable recyclable material from going to waste.",TrueCircle_2.mp4,"We joined forces with UK facilities to explore <b>data-driven optimisation of recycling processes</b>. Our target audience is Plant Managers, who are focussed on maintaining unreliable equipment and have limited time to make process improvements for better efficiency. They lacked the data to guide equipment upgrades or set the right price for recycled material. Existing solutions in the market were not accurate enough and <b> time-consuming/expensive </b> to set up. TrueCircle AI offers a simple and reliable solution to this problem.","TrueCircle_3a.jpeg
TrueCircle_3b.jpeg","We started with the minimum viable implementation: a GoPro taped above a conveyor belt. Over the following year, I helped develop the hardware into a finished product. Working in a small, dynamic team enabled significant variety and responsibility in my role. Some highlights included: 
<ul><li>Launching TrueCircle’s minimum viable hardware prototype and leading the pilot installation at a UK recycling facility.</li>
  <li>Building standard procedures for small-scale manufacture and assembly in-house.</li>
  <li>Leading development of our 'second-gen' hardware</b>, eliminating key failure modes and saving £1000s in maintenance costs.</li>
  <li>Establishing processes to hand over system installations to a 3rd-party supplier, <b>proving scalability</b>, a key requirement for TrueCircle’s Series A.</li>
</ul>","TrueCircle_4a.jpeg
TrueCircle_4b.jpeg
TrueCircle_4c.jpeg","At the end of our first year, we launched an updated hardware product that can be <b>retrofitted in just a few hours, with zero upfront cost</b> for our customers. Our system sends instant alerts for operational issues and verifies material purity with <b>95%+ accuracy in over 30 facilities</b> internationally. This led to increased trust in material quality and a direct increase in revenue per tonne for customers. To further drive efficiency, TrueCircle introduced Trade. In this online marketplace, Plant Managers can <b>buy and sell material with purity verified by AI </b> for the first time.",,
Experience,GoogleX,Google X,Google X,2019,Intern @ Google's Moonshot Factory,"Embedded systems
Python
Interfaces
PCB design",Six Months Full-Time,"Google X HQ, California","Championed an all-new hardware generation
Collaborated on Mineral, Google's Farming Robot
Filed 2 <a href=""https://patents.google.com/?inventor=bennet+cobley&oq=bennet+cobley""> Patent Applications</a> ",RM & RG.,"GoogleX_1a.jpeg
GoogleX_1b.jpeg","<b>How can we find radical solutions to some of the world's most intractable problems?</b> A paid six-month placement at <a href=""https://x.company/"">Google X</a>; Alphabet's experimental R&D facility. X's 'moonshot' approach to problem-solving explores ambitious high-risk, high-reward projects. By taking a radical, outside-the-box thinking approach to engineering challenges, X aims to find new technologies with the potential to become the 'next Google'.",GoogleX_2.jpeg,"I collaborated with an early-stage team to help prototype and evaluate a <b>novel sensor technology</b>. As the team's software dev, I built the data pipeline, from sensor interrogation to cloud upload for machine learning. I co-designed a custom PCB, building our first portable device with improved features, including a <b>4x size reduction</b>, modular expandability of up to 8x, <b>2.5x higher sensor resolution</b>, and a portable design with an intuitive user interface.",GoogleX_3.jpeg,"Through my work with X, I filed two <a href=""https://patents.google.com/?inventor=bennet+cobley&oq=bennet+cobley"">2 Patent Applications</a> as <b>primary author</b>, which are now in the public domain. The pending patents describe a gas sensing system consisting of multiple gas sensor modules, each specific to a set of target analytes. The system can select any subset of the modules to create varied combinations of gasses to <b>generate broader training data for a machine-learned model</b>. These gas sensors can be pre-sensitised to specific targets with the addition of a camera module.",https://www.youtube.com/watch?v=lmxrRps7DnI,"We (the sensor team) partnered with Google's Farming Robotics project, <a href=""https://x.company/projects/mineral/"">Mineral</a>. I built the hardware and software integration to mount our sensors to the physical robot and interface with Mineral's <b>ROS robotics system</b>. The data was published to the ROS network in real-time, with the combined sensor readings and GPS information enabling <b>geo-located insights about the plant health and yield</b>.",,
Experience,Dyson,Dyson,Dyson,2018,Intern @ Dyson [New Product Development],"Concept design
Prototyping
CAD & CAE
DFM & DFA",Three Months Full-Time,"Dyson HQ, Malmesbury","Intro to Dyson's rigorous engineering process
Ownership of feature on an unreleased product
Offered return role at Dyson upon Graduation.",SH et al.,"Dyson_1.jpeg
Dyson_2.jpeg","<b>How can we rethink physical interactions on a product familiar for 20+ years? </b> A paid internship in Dyson's <a href=""https://careers.dyson.com/en-gb/what-you-can-do/engineer/new-product-innovation/"">New Product Development</a> team. I addressed a design challenge related to an unreleased (confidential) product. As an intern, I was given ownership of part design from <b>concept generation to design for manufacture</b>. Presenting four solutions across various engineering risk levels, I reimagined the user interaction challenges. This project sharpened my digital and physical prototyping abilities but inspired me to seek out faster, more entrepreneurial working environments.",,,,,,,,
Experience,Brompton,Brompton,Brompton,2017,Intern @ Brompton Bicycle,"Mechanical
CAD & CAE
Fabrication
AM",Three Months Full-Time,"Brompton HQ, London","Collaborated as part of an all-intern team
Redesigned iconic Brompton product
Fabricated 3 prototype bikes in just 3 months",WCS & WBA.,"Brompton_1a.jpeg
Brompton_1b.jpeg","<b>How can we reimagine the iconic Brompton Bicycle? </b> A paid internship at <a href=""https://www.brompton.com/"">Brompton</a>. I joined a live project team challenged to develop a new Brompton product. As a group of three interns, we began with a blank sheet of paper and concluded with three <b>fully ridable (and foldable) prototype bikes</b> in just three months. This project kick-started my computational design and hands-on workshop skillset. ",Brompton_2.jpeg,"The CEO was highly complimentary of our work, and the project was <b>approved for commercialisation</b> (currently confidential). I am told the product is still in development and will be released 'soon'. When released, it will be Brompton's <b>first new core product line in 40+ years</b>.",,,,,,
Education,Imperial,Imperial College,Imperial,2020,Design Engineering Master's Degree,"Design theory
Users
Engineering fundamentals
Innovation
Enterprise",Four Years Full-Time,Dyson School of Design Engineering,"Awarded Head of School Achievement Prize '20
Dean’s List for Academic Excellence '18/'19/'20
IROS 2022 <a href='#Percussion'>Best Application Paper</a>  ",WB et al.,Imperial_1.jpeg,"<b>How can a degree best teach engineering with design?</b> The <a href=""https://www.imperial.ac.uk/design-engineering/"">Dyson School</a> is the newest engineering department at Imperial College. Design Engineering is a <b>highly creative discipline at the intersection of hardware and software</b>. The degree covers the fundamentals, with an emphasis on product development, technical innovation, user-centred design, and enterprise. 'T-shaped' skillsets are encouraged; I specialised in physical computing, robotics, interaction, and technical prototyping. Through DesEng, I found a love for building new things to solve hard problems. ",Imperial_2.jpeg,"I demonstrated academic excellence over the 4-years, achieving the <b>highest overall degree result of the 2020 class</b> and placing on the Dean’s List for Academic Excellence in '18/'19/'20 (top 10% of year). My robotics Group project team were awarded an <b>international robotics prize</b> at IROS 2022 for the Best Application Paper, for our work on a <a href=""#Percussion"">medical percussion device</a>.  During the degree, I interned at <b>Google X, Dyson, and Brompton</b>. I particularly enjoyed teaching RPi/Arduino after being offered a paid Teaching Assistant role through top-of-class results in <i>Physical Computing</i>. 
",,,,,,
Publications,OnionBot,OnionBot,OnionBot,2020,[Open Source] Master's Thesis,"Interaction
Algorithms
Computer vision
Research
Python
Front-end",One Year Part-Time,Imperial College London,"Read Thesis on <a href=""https://arxiv.org/pdf/2011.05039.pdf"">Arxiv</a>
Open-sourced on <a href=""https://github.com/onionbot "">GitHub</a>
Featured in <a href=""static/img/MagPi101.pdf"">RPi Mag</a>
~10K views on <a href=""https://www.youtube.com/watch?v=W4utRCyo5C4"">YouTube</a>",DB.,https://www.youtube.com/watch?v=W4utRCyo5C4,"<b>Can we augment routine cooking tasks using machine vision and robotics?</b> I designed my Master's project to further my understanding of ML at a prototype level. OnionBot is a robotic kitchen assistant designed to automate routine pan-cooking tasks. Born from a desire for a robot that can soften onions while I prepare other ingredients, the prototype showcases the ability to <b>cook a complete pasta & sauce recipe</b>. Inspired by a great video by the <a href=""https://youtu.be/ydzJPeeMiMI"">Experiments by Google</a> team, I shot a film explaining OnionBot. It gained almost 10K views on <a href=""https://www.youtube.com/watch?v=W4utRCyo5C4"">YouTube</a>, nearly 25% of the views of the Google video! ","OnionBot_2a.jpeg
OnionBot_2b.jpeg
","<i>Industrial</i> automation technology could also augment <i>home</i> cooking by <b>reducing errors and supporting decision-making</b>. However, designing automation tech for the home is a unique challenge, requiring versatile tools instead of specialised machines. While robot arms could replicate human-kitchen interactions, they are too big and costly for home use. Cameras could act as multi-purpose sensors, but no suitable cooking image datasets are available. With OnionBot, I combined <b> automation and machine vision techniques </b> into a simple countertop robot. Watch the film on <a href=""https://www.youtube.com/watch?v=W4utRCyo5C4"">YouTube</a>",OnionBot_3.jpeg,"I chose to tackle <i>pan-cooking</i> tasks first. A Raspberry Pi camera and thermal camera are mounted above the stove to monitor cooking progress. A <a href=""https://coral.ai/products/accelerator/"">Coral TPU</a> accelerates classification. A servo motor adjusts the power setting of the induction stove. The project aims to provide <b>automation <i>without</i> adding excessive complexity</b>; instead of replacing the chef, OnionBot augments the chef with multitasking superpowers. The human provides the 'actuation', enhanced by a touchscreen interface 'sous-chef' that offers instructions, reminders, and alerts. OnionBot watches the pan so that the chef can concentrate on culinary creativity. This <b>human-centred approach</b> is a novel concept in cooking robotics research. Read the Thesis on <a href=""https://arxiv.org/pdf/2011.05039.pdf"">Arxiv</a>.","OnionBot_4a.jpeg
OnionBot_4b.jpeg","Food image classifiers show poor results in real-world scenarios due to the complexity and variability of food images. OnionBot introduces two innovations: Firstly, the <b>fixed camera view above the stove provides a consistent environment</b> for capturing images. Secondly, instead of pursuing a general classification approach, OnionBot adopts a milestone-based method where only<b>key cooking events, 'milestones', are labelled</b> for each recipe. This simplifies the perception challenge by significantly reducing the classification scope (from 1000s to 10s). I created a <b>labelling interface</b> to easily build labelled cooking image datasets by manually selecting each milestone while cooking. I used Google AutoML for streamlined model training, enabling new recipe models to be trained with just a few clicks. Watch the film on <a href=""https://www.youtube.com/watch?v=W4utRCyo5C4"">YouTube</a>",OnionBot_5.jpeg,"The prototype highlights the potential for automation in home cooking but requires large training datasets to advance further. A fleet of OnionBot devices could crowd-source labelled pan-cooking image data. The fleet-generated dataset, including rich metadata, could drive new research into cooking with AI. <b>I open-sourced OnionBot</b> to encourage further research; Texas-based Hill Yu reached out to me; he has built an OnionBot prototype (pictured above) called <a href=""https://www.kitchenautomatique.com/"">Kitchen Automatique</a> and fundraised $40K to <b>commercialise the idea</b>. Wishing Kitchen Automatique the best of luck!"
Publications,Percussion,Medical Percussion,Percussion,2020,"Robotics Research 
Group Project","Mechanical design
AM
Simulation
Research",Three Months Part-Time,MORPH Robotics Lab Imperial College London,"Awarded Best Application Paper at <a href=""https://iros2022.org/2022/10/30/award-winners/"">IROS 2022</a>
Published in <a href=""https://ieeexplore.ieee.org/document/9830846/"">IEEE RA-L</a> 
Shared in the <a href=""https://www.imperial.ac.uk/news/242295/imperial-engineering-students-awarded-international-robotics/"">Imperial Newsletter</a>",PZQ/OT/YT/TN.,Percussion_1.mp4,"<b>Can we replicate an ancient medical diagnosis tool with modern technology?</b> What is Percussion? Medical percussion involves tapping the chest, back, and abdomen to assess the condition of underlying tissues based on the resulting acoustic response. <b>Despite its frequent use in medical diagnosis, percussion dynamics are not fully understood.</b> Experienced practitioners modify the percussion force and impulse by adjusting the stiffness in their elbow and wrist joints, but the correlation between these adjustments and the acoustic response remains underexplored. This project explored how robotics and ML could help standardise medical percussion examinations.",Percussion_2.jpeg,"Our Robotics Lab Group introduced a <b>novel robotic percussion device</b> designed to imitate the human percussion technique through a two-degree-of-freedom linkage mechanism with adjustable joint stiffness. The force profile of a medical student performing percussion was captured and used to inform the simulation of a mathematical model of the mechanism in MATLAB (above). This allowed for identifying the <b>optimal parameters to build a hardware prototype</b>. The device was evaluated on a silicone phantom tissue model, demonstrating a <b>force profile comparable to that of a human performer</b>, with reduced variability between successive percussion actions.",Percussion_3.mp4,I contributed to the <b>development and analysis of the initial robotic device</b>. Teammate Oliver Thompson outlines the device in the presentation below. Oli's presentation was awarded Best Presentation Overall at IROS RoPat20 Robot-Assisted Training For Primary Care Workshop. ,https://www.youtube.com/watch?v=fW7HsbtPrFo,"<b>My colleagues continued researching the topic after our graduation</b>. In their first experiment, the device used spectro-temporal analysis with 1-D Continuous Wavelet Transform (CWT) to identify hard nodules resembling lipomas in silicone phantom tissue. In their second experiment, Gaussian Mixture Modelling (GMM) and Neural Network (NN) predictive models were used to classify composite phantom tissue of varying density and thickness. The proposed device and methods achieved up to 97.5% accuracy in the classification of phantoms, indicating the potential for robotic solutions to <b>standardise and improve the accuracy of percussion</b> diagnostic procedures.  This paper was accepted for publication in <a href=""https://ieeexplore.ieee.org/document/9830846/"">IEEE RA-L</a>.
",Percussion_4.jpeg,"Pilar Zhang Qiu presented the paper at IROS2022 in Kyoto, Japan. We were thrilled to be awarded the <a href=""https://iros2022.org/2022/10/30/award-winners/"">Best Application Paper Award</a>. This was all <b>thanks to my wonderful colleagues</b> Pilar Zhang Qiu, Jacob Tan, Oliver Thompson, and our supervisor, Prof Thrishantha Nanayakkara. 

"
Projects,Dome,Geodesic Dome,Dome,2022,Passion Project,"CAD
Fabrication
Raspberry Pi
3D printing",Evenings & Weekends,Home,"60 polycarbonate panels in 3 different sizes
35 glazing hubs 3D printed in clear PETG
95 wooden struts in 3 different lengths
There is a reason people build in rectangles!",ZK et al.,"Dome_1a.jpeg
Dome_1b.jpeg
Dome_1c.jpeg
Dome_1d.jpeg
","<b>Can we become self-sufficient by growing vegetables in a (futuristic) greenhouse? </b>After the success of <a href=""#FarmBot"">FarmBot</a>, we built a geodesic dome greenhouse for propagation and overwintering vegetable plants. Built using a <a href=""https://buildwithhubs.co.uk/"">Hubs</a> geodesic frame, kit with a custom polycarbonate glazing + 3D printed solution. Design spec: Icosahedron, Frequency 2, Subdivision class I, 3/4 Sphere (with flat base). <a href=""https://acidome.com/lab/calc/#Flat_3/4_Piped_D88_2V_R1.606_beams_38x19"">3D model</a>",,,,,,,,
Projects,Inky,Inky for Spotify,Inky,2021,Passion Project,"Raspberry Pi
Python
APIs",Evenings & Weekends,Home,"View your digital album art in a beautiful frame!
7-colour low energy ePaper display
Check the project out on <a href=""https://github.com/tomcobley/inky-spotify"">GitHub</a>",TC.,Inky_2.mp4,"<b>Can we bring back the magic of album art in the digital music era?</b> Use a Raspberry Pi to display album art for your current Spotify listens on a 7-colour ePaper display. Designed for use with an Inky Impression 7 colour ePaper display. The ePaper display transitions bring the album art to life and doesn't require power to maintain the image! Check it out on <a href=""https://github.com/tomcobley/inky-spotify"">GitHub</a>",,,,,,,,
Projects,FarmBot,FarmBot,FarmBot,2021,Passion Project,"Fabrication
Horticulture",Evenings & Weekends,Home,"Automated sowing!
Automated watering!
Automated weeding!",ZK et al.,"FarmBot_1a.jpeg
FarmBot_1b.jpeg
FarmBot_1c.jpeg
FarmBot_1d.jpeg","<b>Can we become self-sufficient by automating vegetable growing with robotics? </b><a href=""https://farm.bot/"">FarmBot</a> is an <b>open-source, automated farming robot</b> for growing food using precision agriculture techniques developed by a team in California. We built the raised bed, assembled the kit, and programme the growing schedule. Changeable toolheads on a CNC cartesian gantry system allow FarmBot to sow seeds, water plants and destroy weeds automatically. ","Farmbot_2a.mp4
Farmbot_2b.mp4","This was a lockdown project motivated by the desire to be <b>more self-sufficient</b> by growing our own food. While FarmBot probably won't save money or time, net, over its lifetime, it did get us into vegetable growing! We had a great crop in the first year, but <b>90% of the credit goes to the humans</b> looking after FarmBot.",,,,,,
